"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D10,D2,D8,D11,D13,D5,D12,D6,D9,D4,D3,D7,D1";"LED_0805_2012Metric";13;"LED";;;
2;"C3,C4";"C_0805_2012Metric";2;"100nF";;;
3;"J2,J1";"RJ45_Amphenol_54602-x08_Horizontal";2;"RJ45";;;
4;"C5";"C_0805_2012Metric";1;"4nF";;;
5;"J3";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
6;"J11,J5,J7,J6,J4,J8,J10,J9";"PinHeader_2x06_P2.54mm_Vertical";8;"Conn_02x06_Odd_Even";;;
7;"R1,R2";"R_0805_2012Metric";2;"100";;;
8;"C1";"C_0805_2012Metric";1;"1uF";;;
9;"C2";"C_0805_2012Metric";1;"10uF";;;
10;"R3";"R_0805_2012Metric";1;"2k4";;;
11;"U1";"SOT-23-5";1;"LP2985-33DBVR";;;
12;"U3";"HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm_Mask2.75x3.43mm_ThermalVias";1;"TLC5971PWP";;;
13;"U2";"TSSOP-16_4.4x5mm_P0.65mm";1;"SN65LVDS049";;;
14;"R5";"R_0805_2012Metric";1;"2k";;;
15;"R4";"R_0805_2012Metric";1;"0";;;
